,,Normalized data,,,,,SINDy model,lambda=0.062,,,,,SINDy model,lambda=0.04,,
time (s),NADH,ATP,DiOC2(3),PBFI,,time (s),NADH,ATP,DiOC2(3),PBFI,,time (s),NADH,ATP,DiOC2(3),PBFI
571,0.903712902,0.74192628,0.5168393,0.357955841,,571,0.309794382,0.221260226,0.64092455,0.658127185,,571,0.809189103,0.020831991,0.756931646,1.022272658
572,0.730271956,0.835290475,0.449127709,0.379133409,,572,0.285538405,0.213329489,0.64092455,0.627836465,,572,0.7716228,0.008539171,0.763688193,0.966004071
573,0.802282957,0.832401838,0.417544399,0.359914999,,573,0.259953816,0.207535173,0.64092455,0.596198426,,573,0.724078998,0.001215714,0.765615605,0.900531194
574,0.720070807,0.845005712,0.367069032,0.367844926,,574,0.233699714,0.203795199,0.64092455,0.5632411,,574,0.668672299,-0.00158528,0.763347903,0.827194254
575,0.67352125,0.829220109,0.380212803,0.516927542,,575,0.207484679,0.202077901,0.64092455,0.529049514,,575,0.608133143,-0.00016723,0.758194933,0.747693279
576,0.634241026,0.816964283,0.346973571,0.465336374,,576,0.182066116,0.202400883,0.64092455,0.493782124,,576,0.545706512,0.005365265,0.752027621,0.664031295
577,0.499599372,0.793480471,0.377353433,0.477930963,,577,0.158244616,0.204830925,0.64092455,0.457683622,,577,0.485024809,0.015178232,0.747073469,0.578426575
578,0.510703078,0.742110288,0.386271087,0.436881932,,578,0.13685165,0.209484755,0.64092455,0.421092248,,578,0.429961532,0.029787422,0.745644236,0.493212187
579,0.469082371,0.792766777,0.340200307,0.4815694,,579,0.118729527,0.216530393,0.64092455,0.384439914,,579,0.38446678,0.050124536,0.749823645,0.41074711
580,0.388226391,0.718772919,0.391274764,0.544075879,,580,0.104703411,0.226188651,0.64092455,0.348244054,,580,0.352371653,0.077557402,0.761145614,0.333358047
581,0.343881906,0.674805734,0.425179991,0.556483881,,581,0.095546228,0.238734182,0.64092455,0.313091272,,581,0.337130164,0.113817862,0.780297159,0.26331346
582,0.285110845,0.679871431,0.416996063,0.683176117,,582,0.091938197,0.254495242,0.64092455,0.279614401,,582,0.341457322,0.160785285,0.806890309,0.202806013
583,0.279830608,0.536417217,0.441493235,0.566746139,,583,0.094423202,0.273850985,0.64092455,0.248466328,,583,0.366842112,0.220089825,0.839363966,0.153898421
