time (s),NADH,,time (s),DiOC2(3),,time (s),PBFI
533,140650,,533,22054,,533,3445
534,138750,,534,22138,,534,3892
535,139800,,535,22104,,535,3335
536,138850,,536,22088,,536,3632
537,140050,,537,22093,,537,3844
538,140450,,538,22096,,538,4174
539,142050,,539,22097,,539,3472
540,142050,,540,22063,,540,4197
541,141200,,541,22083,,541,4125
542,138850,,542,22154,,542,3648
543,140300,,543,22074,,543,3947
544,139350,,544,22072,,544,4231
545,139000,,545,22121,,545,4268
546,141900,,546,22054,,546,3183
547,141100,,547,22013,,547,3468
548,139600,,548,22095,,548,3443
549,141000,,549,22054,,549,3413
550,139750,,550,22060,,550,3712
551,140400,,551,22138,,551,3277
552,141700,,552,22104,,552,3885
553,139250,,553,22107,,553,3186
554,142550,,554,22075,,554,3423
555,142300,,555,22150,,555,3801
556,138900,,556,22115,,556,4027
557,141800,,557,22144,,557,3193
558,140900,,558,22108,,558,3882
559,139500,,559,22103,,559,3418
560,142500,,560,22103,,560,3311
561,140100,,561,22119,,561,3226
562,140950,,562,22117,,562,3647
563,143050,,563,22064,,563,3557
564,141900,,564,22146,,564,3440
565,139450,,565,22126,,565,2806
566,140950,,566,22135,,566,3547
567,139100,,567,22155,,567,3373
568,142400,,568,22167,,568,3513
569,142600,,569,22101,,569,3627
570,141450,,570,22157,,570,3566
571,142650,,571,22178,,571,3739
572,143800,,572,22132,,572,3845
573,140250,,573,22121,,573,3717
574,141550,,574,22079,,574,3407
575,141700,,575,22098,,575,3456
576,141100,,576,22176,,576,3675
577,144500,,577,22154,,577,3621
578,143350,,578,22079,,578,3593
579,146150,,579,22112,,579,3944
580,140550,,580,22171,,580,3464
581,143500,,581,22170,,581,3410
582,142800,,582,22153,,582,3474
583,142550,,583,22143,,583,3381
584,144800,,584,22159,,584,3795
585,142600,,585,22191,,585,4314
586,146000,,586,22169,,586,3288
587,145100,,587,22212,,587,3816
588,144300,,588,22188,,588,3505
589,145050,,589,22129,,589,3201
590,145250,,590,22154,,590,3496
591,145750,,591,22185,,591,2810
592,146000,,592,22215,,592,2961
593,143650,,593,22196,,593,3107
594,144600,,594,22200,,594,3776
595,145550,,595,22200,,595,3374
596,145500,,596,22172,,596,3748
597,145800,,597,22139,,597,3648
598,144200,,598,22219,,598,3116
599,145550,,599,22222,,599,3395
600,147650,,600,22256,,600,3057
601,145300,,601,22204,,601,3342
602,143900,,602,22209,,602,3326
603,144600,,603,22253,,603,3569
604,143200,,604,22235,,604,3388
605,144700,,605,22189,,605,3515
606,142850,,606,22206,,606,3104
607,145900,,607,22212,,607,3341
608,144450,,608,22197,,608,3456
609,147150,,609,22193,,609,4084
610,147800,,610,22238,,610,3569
611,146950,,611,22258,,611,3787
612,144050,,612,22251,,612,3550
613,143500,,613,22275,,613,3382
614,145750,,614,22255,,614,3550
615,145450,,615,22290,,615,3563
616,145750,,616,22245,,616,3508
617,145650,,617,22247,,617,3741
618,145500,,618,22295,,618,3937
619,144900,,619,22242,,619,3012
620,148500,,620,22207,,620,3991
621,144950,,621,22238,,621,3939
622,144100,,622,22365,,622,3516
623,145250,,623,22284,,623,4146
624,144850,,624,22290,,624,3490
625,145650,,625,22299,,625,3407
626,142300,,626,22304,,626,3363
627,143150,,627,22299,,627,4258
628,143150,,628,22253,,628,3450
