,"""-nigericin""",,,"""+nicericin"""
time (s),NADH,,time (s),NADH
984,162532,,984,145383
985,163660,,985,145615
986,164155,,986,146214
987,163290,,987,145725
988,163680,,988,145976
989,162712,,989,145775
990,162802,,990,144128
991,162776,,991,144793
992,163394,,992,144141
993,162262,,993,144509
994,163713,,994,144250
995,163453,,995,144023
996,163245,,996,145152
997,162835,,997,145185
998,164661,,998,144775
999,163345,,999,144762
1000,163155,,1000,145544
1001,162901,,1001,145754
1002,163342,,1002,146156
1003,163092,,1003,145241
1004,163707,,1004,145282
1005,163283,,1005,146374
1006,162580,,1006,146281
1007,162889,,1007,146065
1008,162803,,1008,145975
1009,163104,,1009,147020
1010,163234,,1010,147392
1011,163374,,1011,146931
1012,163180,,1012,146499
1013,163511,,1013,147180
1014,162897,,1014,146741
1015,163286,,1015,146030
1016,162825,,1016,146655
1017,163446,,1017,147581
1018,163328,,1018,146018
1019,162982,,1019,146650
1020,163415,,1020,145128
1021,162690,,1021,145952
1022,163681,,1022,146002
1023,162892,,1023,146049
1024,163234,,1024,145423
1025,162970,,1025,144980
1026,162968,,1026,145801
1027,163748,,1027,145162
1028,163906,,1028,145161
1029,162389,,1029,144810
1030,163999,,1030,144761
1031,163641,,1031,144681
1032,163647,,1032,145008
1033,163329,,1033,144797
1034,163932,,1034,145140
1035,163133,,1035,144764
1036,163822,,1036,144869
1037,163245,,1037,145020
1038,163265,,1038,145308
1039,164024,,1039,145834
1040,163915,,1040,145270
1041,163238,,1041,146347
1042,164159,,1042,145642
1043,164281,,1043,146416
1044,163989,,1044,146498
1045,163061,,1045,145636
1046,163684,,1046,147067
1047,163712,,1047,146764
1048,163814,,1048,146863
1049,164182,,1049,146348
1050,163915,,1050,147168
1051,163829,,1051,146495
1052,162349,,1052,147029
1053,163750,,1053,147505
1054,163077,,1054,147020
1055,164000,,1055,146693
1056,162947,,1056,147054
1057,162613,,1057,147463
1058,163491,,1058,146403
1059,163053,,1059,146515
1060,163312,,1060,145405
1061,163734,,1061,145946
1062,164026,,1062,145915
1063,163962,,1063,146544
1064,163418,,1064,145122
1065,163875,,1065,145506
1066,163334,,1066,145544
1067,162950,,1067,144987
1068,164330,,1068,144620
1069,163288,,1069,144696
1070,162272,,1070,144909
1071,163016,,1071,145288
1072,162600,,1072,145206
1073,162883,,1073,146915
1074,162885,,1074,144753
1075,162987,,1075,145503
1076,164733,,1076,146145
1077,161902,,1077,144988
1078,162975,,1078,145970
1079,163765,,1079,146221
1080,162557,,1080,146725
1081,163498,,1081,145951
1082,164475,,1082,146256
1083,163295,,1083,146292
1084,163254,,1084,146859
1085,163063,,1085,147740
1086,164366,,1086,147203
1087,163501,,1087,146393
1088,163211,,1088,147033
1089,163476,,1089,147209
1090,162377,,1090,147597
1091,163965,,1091,147489
1092,163757,,1092,146140
1093,163269,,1093,147695
1094,164106,,1094,146606
1095,163377,,1095,147571
1096,163754,,1096,146775
1097,163582,,1097,146714
1098,163838,,1098,146788
1099,164355,,1099,146432
1100,164404,,1100,146152
1101,163573,,1101,145782
1102,164143,,1102,145849
1103,163978,,1103,145969
1104,163551,,1104,145647
1105,163134,,1105,146132
1106,164215,,1106,144927
1107,164540,,1107,145670
1108,164700,,1108,145363
1109,163487,,1109,145710
1110,164029,,1110,145521
1111,163976,,1111,145079
1112,165081,,1112,144614
1113,163241,,1113,145432
1114,164045,,1114,145918
1115,163191,,1115,145236
1116,163338,,1116,145106
1117,163480,,1117,145705
1118,162966,,1118,146859
1119,163425,,1119,146492
1120,164161,,1120,146613
1121,164106,,1121,145465
1122,163952,,1122,146839
1123,165136,,1123,147281
1124,163937,,1124,146972
1125,164394,,1125,147376
1126,163465,,1126,148939
1127,163380,,1127,147772
1128,164075,,1128,147758
1129,163561,,1129,147981
1130,163972,,1130,147956
1131,164358,,1131,147761
1132,163773,,1132,147887
1133,164266,,1133,146828
1134,163466,,1134,146896
1135,163829,,1135,147958
1136,163972,,1136,148025
1137,164254,,1137,146983
1138,164496,,1138,147082
1139,163456,,1139,146819
1140,163694,,1140,146516
1141,164266,,1141,146246
1142,164391,,1142,145353
1143,164784,,1143,146814
1144,164430,,1144,145496
1145,163703,,1145,145264
1146,163330,,1146,145637
1147,163374,,1147,144551
1148,163779,,1148,145189
1149,164127,,1149,146140
1150,163898,,1150,145715
1151,164623,,1151,145650
1152,164291,,1152,145593
1153,163999,,1153,146475
1154,164711,,1154,146640
1155,163417,,1155,146710
1156,163824,,1156,146574
1157,164342,,1157,145667
1158,164325,,1158,147035
1159,163681,,1159,147669
1160,164253,,1160,146245
1161,164133,,1161,147209
1162,163524,,1162,147032
1163,164167,,1163,147235
1164,164502,,1164,147839
1165,164730,,1165,147195
1166,163451,,1166,147595
1167,163594,,1167,148463
1168,163755,,1168,147835
1169,164060,,1169,147772
1170,163681,,1170,147661
1171,164405,,1171,147506
1172,164273,,1172,147125
1173,164432,,1173,147672
1174,165270,,1174,146859
1175,164542,,1175,147858
1176,163809,,1176,147444
1177,164935,,1177,147479
1178,164079,,1178,147326
1179,164881,,1179,146750
1180,163920,,1180,146205
1181,164690,,1181,146498
1182,164086,,1182,146276
1183,163151,,1183,146468
1184,164522,,1184,146124
1185,164813,,1185,145547
1186,163882,,1186,145814
1187,164897,,1187,144803
1188,163828,,1188,146140
1189,163815,,1189,145126
1190,163966,,1190,146947
1191,164026,,1191,146058
1192,163491,,1192,146416
1193,164564,,1193,146339
1194,163363,,1194,146109
1195,164607,,1195,146436
1196,164036,,1196,147004
1197,164078,,1197,146542
1198,163682,,1198,147413
1199,163474,,1199,147505
1200,163533,,1200,147585
1201,163047,,1201,147869
1202,163439,,1202,148088
1203,163101,,1203,148203
1204,163753,,1204,148424
1205,163864,,1205,146909
1206,163390,,1206,147959
1207,164005,,1207,148082
1208,163854,,1208,147722
1209,163707,,1209,147875
1210,164699,,1210,147879
1211,165125,,1211,146452
1212,164037,,1212,148477
1213,163844,,1213,147760
1214,163453,,1214,147371
1215,164083,,1215,147248
1216,164549,,1216,146628
1217,163662,,1217,147206
