,100 mM K-phosphate,,,100 mM Na-phosphate
time,NADH,,time,NADH
567,136428,,567,152754
568,137435,,568,152845
569,136824,,569,152757
570,137887,,570,152108
571,138478,,571,151980
572,138545,,572,151620
573,139585,,573,151880
574,140499,,574,152313
575,139752,,575,152652
576,140666,,576,152025
577,142328,,577,152380
578,142127,,578,153760
579,142278,,579,152868
580,143255,,580,153042
581,142470,,581,153955
582,140726,,582,153088
583,141314,,583,153949
584,142161,,584,153344
585,141742,,585,154043
586,141978,,586,152438
587,141067,,587,153758
588,141167,,588,153186
589,140275,,589,153746
590,140150,,590,153130
591,138533,,591,153058
592,138053,,592,153337
593,138001,,593,153060
594,137091,,594,154031
595,137407,,595,153577
596,136615,,596,153711
597,135236,,597,153805
598,136627,,598,152976
599,135469,,599,153867
600,136411,,600,153780
601,135348,,601,153829
602,136215,,602,154566
603,136958,,603,153549
604,136707,,604,154478
605,136740,,605,153850
606,137455,,606,154027
607,137983,,607,153580
608,138177,,608,154236
609,138738,,609,154022
610,140127,,610,153663
611,138815,,611,155099
612,140860,,612,153683
613,141511,,613,154203
614,143316,,614,154750
615,143376,,615,153966
616,142609,,616,153755
617,142489,,617,154192
618,143570,,618,154049
619,143173,,619,154686
620,143684,,620,153616
621,143726,,621,153546
622,143453,,622,153882
623,142580,,623,154415
624,142264,,624,154292
625,143043,,625,154854
626,141875,,626,154217
627,141064,,627,154751
628,141230,,628,155155
629,140744,,629,154495
630,139439,,630,154783
631,140096,,631,155237
632,138836,,632,154934
633,138333,,633,155260
634,138123,,634,154504
635,137638,,635,154561
636,137118,,636,154174
637,137326,,637,154536
638,137687,,638,155343
639,138134,,639,154369
640,137912,,640,155002
641,137217,,641,154772
642,137981,,642,155388
643,138143,,643,155023
644,137292,,644,154473
645,140781,,645,155166
646,139423,,646,154532
647,141112,,647,154867
648,139579,,648,154450
649,140060,,649,154063
650,140104,,650,154517
651,142056,,651,155192
652,142479,,652,153969
653,143080,,653,155148
654,142941,,654,155261
655,143443,,655,154999
656,144246,,656,154209
657,144348,,657,154436
658,144417,,658,154438
659,143886,,659,155656
660,144499,,660,155054
661,142488,,661,155213
662,143460,,662,155595
663,144671,,663,154376
664,143777,,664,155823
665,142787,,665,156189
666,142231,,666,154185
667,140535,,667,155353
668,140442,,668,155747
669,140119,,669,154899
670,139753,,670,154934
671,139289,,671,155985
672,139361,,672,154841
673,138020,,673,155900
674,139475,,674,154639
675,138302,,675,155340
676,138813,,676,154960
677,138039,,677,155054
678,137842,,678,155237
679,137637,,679,155615
680,138403,,680,154854
681,138265,,681,154939
682,138891,,682,154781
683,138450,,683,155886
684,140049,,684,156289
685,139671,,685,156094
686,140220,,686,155689
687,140573,,687,155753
688,140678,,688,155880
689,141619,,689,156081
690,142260,,690,155500
691,142879,,691,156782
692,143812,,692,156093
693,143150,,693,154738
694,144091,,694,156002
695,145796,,695,156247
696,145245,,696,155645
697,143733,,697,156462
698,144742,,698,156454
699,144208,,699,156008
700,144357,,700,155757
701,142104,,701,155252
702,143272,,702,156525
703,143362,,703,156636
704,142924,,704,156200
705,141357,,705,156725
706,141002,,706,156145
707,141755,,707,156441
708,140868,,708,156757
709,141140,,709,157500
710,138898,,710,156438
711,139281,,711,156078
712,138871,,712,156363
713,138520,,713,157198
714,138079,,714,155981
715,139112,,715,155878
716,138915,,716,157377
717,137681,,717,155425
718,138237,,718,156206
719,138613,,719,157041
720,138947,,720,156598
721,139680,,721,156851
722,140011,,722,155929
723,141054,,723,157090
724,141902,,724,156191
725,141093,,725,156491
726,141400,,726,156358
727,141676,,727,156086
728,142387,,728,156264
729,142132,,729,156168
730,144179,,730,156934
731,143954,,731,157007
732,144720,,732,157169
733,143206,,733,156966
734,144112,,734,156842
735,144468,,735,155640
736,145325,,736,156868
737,145138,,737,156508
738,144466,,738,155972
739,144785,,739,156229
740,144355,,740,156068
741,143542,,741,156955
742,143697,,742,156683
743,142200,,743,156983
744,143229,,744,156556
745,143471,,745,157402
746,140954,,746,157384
747,141432,,747,156399
748,140284,,748,156935
749,140471,,749,156443
750,139547,,750,156495
751,139111,,751,156262
752,140070,,752,157718
753,139342,,753,157593
754,138991,,754,156963
755,138572,,755,157091
756,138523,,756,157036
757,139398,,757,156778
758,139765,,758,157036
759,139551,,759,157077
760,139353,,760,157017
761,140533,,761,156611
762,140683,,762,157154
763,141486,,763,156932
764,141474,,764,156651
765,142112,,765,157349
766,141843,,766,156897
767,142408,,767,156495
768,143512,,768,156994
769,143936,,769,156490
770,144712,,770,157681
771,144558,,771,156749
772,145385,,772,157002
773,144794,,773,157045
774,144977,,774,157198
775,145529,,775,157606
776,144873,,776,157284
777,144192,,777,157087
778,144313,,778,157853
779,142982,,779,156758
780,143879,,780,157268
781,143508,,781,156960
782,143215,,782,157583
783,142934,,783,157294
784,142253,,784,157543
785,141107,,785,157300
786,141328,,786,157791
787,141114,,787,157445
788,140544,,788,157288
789,141052,,789,157655
790,140433,,790,158112
791,139571,,791,157443
792,139720,,792,157972
793,139520,,793,157330
794,140162,,794,157709
795,138997,,795,157007
796,139266,,796,157309
797,139566,,797,158179
798,139511,,798,157591
799,139409,,799,157629
800,140630,,800,157812
801,140551,,801,158567
802,141686,,802,157753
803,142702,,803,157471
804,141810,,804,157115
805,142771,,805,157351
806,143518,,806,158249
807,143724,,807,158417
808,144389,,808,158389
809,144092,,809,158035
810,145220,,810,157900
811,144996,,811,157464
812,145333,,812,157473
813,145733,,813,158222
814,145036,,814,158120
815,145592,,815,158514
816,145278,,816,159498
817,143554,,817,158245
818,144508,,818,157163
819,145053,,819,158575
820,144477,,820,158176
821,143496,,821,158268
822,141926,,822,157834
823,142474,,823,158283
824,141256,,824,157916
825,141503,,825,157763
826,141459,,826,157763
827,141441,,827,157713
828,140152,,828,158788
829,139735,,829,158084
830,140330,,830,157474
831,139948,,831,158632
832,139421,,832,158193
833,140297,,833,158214
834,140546,,834,158096
835,140136,,835,158082
836,140122,,836,158540
837,141095,,837,157873
838,140583,,838,158274
839,141530,,839,157886
840,141678,,840,158712
841,141649,,841,157243
842,144287,,842,157821
843,142558,,843,158491
844,144012,,844,157549
845,143362,,845,159146
846,143626,,846,157827
847,145587,,847,157870
848,146387,,848,159049
849,145932,,849,158695
850,144622,,850,158010
851,145536,,851,158618
852,145785,,852,158538
853,145936,,853,158016
854,145047,,854,157885
855,147241,,855,158672
856,143888,,856,156705
857,144554,,857,157271
858,143866,,858,157147
859,143596,,859,157413
860,143849,,860,158641
861,143130,,861,158406
862,143125,,862,158103
863,141888,,863,158945
864,142560,,864,157428
865,141801,,865,158383
